time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-27 00:00:00+00:00,6,5,119,38
2024-11-28 00:00:00+00:00,3,1,103,39
2024-11-29 00:00:00+00:00,1,1,62,25
2024-11-30 00:00:00+00:00,11,6,106,23
2024-12-01 00:00:00+00:00,6,5,78,25
2024-12-02 00:00:00+00:00,14,4,134,39
2024-12-03 00:00:00+00:00,6,4,90,28
2024-12-04 00:00:00+00:00,4,2,118,30
2024-12-05 00:00:00+00:00,6,6,195,27
2024-12-06 00:00:00+00:00,3,1,78,28
2024-12-07 00:00:00+00:00,2,2,68,20
2024-12-08 00:00:00+00:00,10,4,132,23
2024-12-09 00:00:00+00:00,33,4,64,31
2024-12-10 00:00:00+00:00,2,2,80,27
