time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-06 00:00:00+00:00,14.0,10.0,282,70
2024-10-07 00:00:00+00:00,7.0,6.0,285,51
2024-10-08 00:00:00+00:00,13.0,8.0,233,64
2024-10-09 00:00:00+00:00,6.0,5.0,234,75
2024-10-10 00:00:00+00:00,10.0,9.0,210,49
2024-10-11 00:00:00+00:00,3.0,2.0,330,48
2024-10-12 00:00:00+00:00,,,139,34
2024-10-13 00:00:00+00:00,18.0,5.0,117,37
2024-10-14 00:00:00+00:00,9.0,9.0,168,63
2024-10-15 00:00:00+00:00,5.0,5.0,137,47
2024-10-16 00:00:00+00:00,2.0,2.0,270,54
2024-10-17 00:00:00+00:00,9.0,7.0,205,45
2024-10-18 00:00:00+00:00,12.0,8.0,267,42
2024-10-19 00:00:00+00:00,1.0,1.0,145,29
