time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,24,6,156,41
2024-11-01 00:00:00+00:00,20,6,171,47
2024-11-02 00:00:00+00:00,2,2,166,32
2024-11-03 00:00:00+00:00,3,3,187,40
2024-11-04 00:00:00+00:00,7,7,196,35
2024-11-05 00:00:00+00:00,34,11,67,21
2024-11-06 00:00:00+00:00,3,1,119,37
2024-11-07 00:00:00+00:00,4,4,217,38
2024-11-08 00:00:00+00:00,8,5,253,40
2024-11-09 00:00:00+00:00,79,8,152,33
2024-11-10 00:00:00+00:00,25,5,132,29
2024-11-11 00:00:00+00:00,17,7,208,44
2024-11-12 00:00:00+00:00,3,3,223,44
2024-11-13 00:00:00+00:00,16,3,239,48
